Title,Author,Year,Method/Framework,Development Methodology,Method/Framework Objective,Phrase_Method_and_Objective,Phrase_TCIM_applicability,Subcategory,Category,C1_LimitedEvidence,C2_ComplexHolistic,C3_CulturalEquityPatient,C4_DataFeasibility,C5_TCIMContextCompatibility,Final_Score_TCIM,TCIM_suitability_level,RND
Development of a health technology assessment module for evaluating mobile medical applications,"Moshi, M. R.",2020,"The authors propose a health technology assessment (HTA) evaluation module specifically developed to adapt existing HTA frameworks for the assessment of mobile medical applications (MMAs). This module includes mandatory domains such as description and technical characteristics, current use of the technology, effectiveness, safety, cost-effectiveness, organisational, ethical, legal, social aspects, and reappraisal, with specific MMA-related considerations like software updates, cybersecurity, compatibility, misinformation risk, and post-market data monitoring.","The methodology involved synthesizing results from two previous studies—a systematic review assessing existing MMA evaluation frameworks and a policy analysis of MMA regulation—with insights from nine semi-structured in-depth interviews with stakeholders (healthcare practitioners, app developers, and policymakers). The interviews were analyzed using thematic analysis under a pragmatism epistemology, and the combined findings informed the creation of the MMA evaluation module.",The objective of the study was to develop a module which could be used to facilitate the assessment of mobile medical applications (MMA) for regulatory and reimbursement purposes.,"This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a health technology assessment (HTA) evaluation module specifically developed to adapt existing HTA frameworks for the assessment of mobile medical applications (MMAs). This module includes mandatory domains such as description and technical characteristics, current use of the technology, effectiveness, safety, cost-effectiveness, organisational, ethical, legal, social aspects, and reappraisal, with specific MMA-related considerations like software updates, cybersecurity, compatibility, misinformation risk, and post-market data monitoring. Using the following development approach: The methodology involved synthesizing results from two previous studies—a systematic review assessing existing MMA evaluation frameworks and a policy analysis of MMA regulation—with insights from nine semi-structured in-depth interviews with stakeholders (healthcare practitioners, app developers, and policymakers). The interviews were analyzed using thematic analysis under a pragmatism epistemology, and the combined findings informed the creation of the MMA evaluation module. to address the following objective: The objective of the study was to develop a module which could be used to facilitate the assessment of mobile medical applications (MMA) for regulatory and reimbursement purposes.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",Stakeholder collaboration frameworks,HTA Process Improvements,2,3,3,2,3,2.6,High,0.43176752
Reconstructing the value puzzle in health technology assessment: a pragmatic review to determine which modelling methods can account for additional value elements,"Muir, J. M.",2023,"The authors identify two main analytical approaches recommended for expanding value assessment in HTA: modification of the current cost-effectiveness analysis (CEA) approach (including methods such as augmented CEA, distributional CEA, and extended CEA) and the use of multi-criteria decision analysis (MCDA) methods. Among these, augmented cost-effectiveness analysis (ACEA) appears promising as it combines traditional CEA with additional value elements like insurance value, option value, and value of hope, maintaining an objective framework while incorporating qualitative aspects of value.","The authors conducted a pragmatic literature review using reproducible criteria, guided by the PRISMA statement, searching Embase and MEDLINE for peer-reviewed articles published between 2012 and 2023 that discussed expanded value elements in cost-effectiveness analysis within HTA. They extracted data on publication characteristics, key themes, limitations, and recommendations, categorizing studies based on their recommendations for HTA agencies and modeling methodologies.","The objective proposed by the authors for the expanded modelling methods is to incorporate additional elements of value beyond traditional clinical and cost-effectiveness estimates into health technology assessment (HTA), thereby providing a more holistic view of value that includes societal values and health equity to improve decision-making and patient access to promising technologies.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors identify two main analytical approaches recommended for expanding value assessment in HTA: modification of the current cost-effectiveness analysis (CEA) approach (including methods such as augmented CEA, distributional CEA, and extended CEA) and the use of multi-criteria decision analysis (MCDA) methods. Among these, augmented cost-effectiveness analysis (ACEA) appears promising as it combines traditional CEA with additional value elements like insurance value, option value, and value of hope, maintaining an objective framework while incorporating qualitative aspects of value. Using the following development approach: The authors conducted a pragmatic literature review using reproducible criteria, guided by the PRISMA statement, searching Embase and MEDLINE for peer-reviewed articles published between 2012 and 2023 that discussed expanded value elements in cost-effectiveness analysis within HTA. They extracted data on publication characteristics, key themes, limitations, and recommendations, categorizing studies based on their recommendations for HTA agencies and modeling methodologies. to address the following objective: The objective proposed by the authors for the expanded modelling methods is to incorporate additional elements of value beyond traditional clinical and cost-effectiveness estimates into health technology assessment (HTA), thereby providing a more holistic view of value that includes societal values and health equity to improve decision-making and patient access to promising technologies.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",MCDA / structured multi-criteria frameworks,Value & Decision-Making Frameworks,2,2,3,2,3,2.4,High,0.024353374
Programme for the use of real world data in health technology assessment: using real-world data for health technology assessment,"Muñoz-Fernández, C.",2025,"The authors propose a methodological framework for using real-world data (RWD) in preadoption health technology assessment (HTA) that integrates RWD into the usual HTA workflow. This framework includes defining data requirements early during the HTA protocol phase, specifying research questions, working with data experts to define cohort criteria and data model specifications, conducting exploratory data analysis, and building decision models that incorporate RWD to complement clinical trial data. The framework emphasizes iterative refinement of data requirements based on systematic review findings and data availability, collaboration with data holders, and the use of probabilistic patient-level simulation models when appropriate. The approach is illustrated through a use case involving implantable cardioverter defibrillators (ICDs) for sudden cardiac death prevention, leveraging the BIGAN platform as a source of RWD.","The methodology was developed by initially holding several meetings within the working group to define the primary uses of real-world data (RWD) for the Spanish Network of Agencies for Assessing National Health System Technologies and Performance (RedETS). A manual review was conducted on 41 national and international initiatives providing guidance on the use of RWD in health technology assessment (HTA), from which 20 documents were reviewed and used as references to build a first methodological approach. This approach was discussed within the working group, recognizing the need for specific evaluation frameworks depending on the technology type but identifying common pathways for utilizing RWD in HTA. The BIGAN platform was chosen as the source of RWD for constructing a use case to illustrate the methodology. The methods and procedures described draw upon concepts and recommendations from the manual review and the authors' experience implementing the use case.","The objective of the method/framework developed is to provide methodological and procedural guidelines for the use of real-world data (RWD) in health technology assessment (HTA) during the preadoption phase, aiming to better adjust assessments to the Spanish population context and enable live assessment from early stages of technology introduction to widespread adoption, thereby enhancing decision-making processes about non-pharmacological health technologies in Spain.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a methodological framework for using real-world data (RWD) in preadoption health technology assessment (HTA) that integrates RWD into the usual HTA workflow. This framework includes defining data requirements early during the HTA protocol phase, specifying research questions, working with data experts to define cohort criteria and data model specifications, conducting exploratory data analysis, and building decision models that incorporate RWD to complement clinical trial data. The framework emphasizes iterative refinement of data requirements based on systematic review findings and data availability, collaboration with data holders, and the use of probabilistic patient-level simulation models when appropriate. The approach is illustrated through a use case involving implantable cardioverter defibrillators (ICDs) for sudden cardiac death prevention, leveraging the BIGAN platform as a source of RWD. Using the following development approach: The methodology was developed by initially holding several meetings within the working group to define the primary uses of real-world data (RWD) for the Spanish Network of Agencies for Assessing National Health System Technologies and Performance (RedETS). A manual review was conducted on 41 national and international initiatives providing guidance on the use of RWD in health technology assessment (HTA), from which 20 documents were reviewed and used as references to build a first methodological approach. This approach was discussed within the working group, recognizing the need for specific evaluation frameworks depending on the technology type but identifying common pathways for utilizing RWD in HTA. The BIGAN platform was chosen as the source of RWD for constructing a use case to illustrate the methodology. The methods and procedures described draw upon concepts and recommendations from the manual review and the authors' experience implementing the use case. to address the following objective: The objective of the method/framework developed is to provide methodological and procedural guidelines for the use of real-world data (RWD) in health technology assessment (HTA) during the preadoption phase, aiming to better adjust assessments to the Spanish population context and enable live assessment from early stages of technology introduction to widespread adoption, thereby enhancing decision-making processes about non-pharmacological health technologies in Spain.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",RWE integration & infrastructure,Evidence Integration & Generation,2,1,1,2,1,1.4,Moderate,0.021929975
Modelling approaches for histology-independent cancer drugs to inform NICE appraisals: a systematic review and decision-framework,"Murphy, P.",2022,"The authors propose a decision framework to inform approval and research policies for histology-independent technologies. This framework explores uncertainties and risks associated with different approval policies, including the role of further data collection, pricing schemes, and stratified decision-making. They also developed an exemplar economic model using a Bayesian hierarchical model (BHM) approach to assess heterogeneity in treatment effects across tumour types and to estimate pooled treatment effects, which informs whether the assumption of homogeneity is reasonable.","The authors undertook a series of targeted reviews including a review of FDA and EMA documents on regulatory issues and benefit-risk approaches, an overview of key statistical literature on the design and analysis of histology-independent trials, and a systematic review of meta-analyses evaluating surrogate endpoints. They used these reviews to identify challenges and approaches to uncertainty and heterogeneity. They developed an exemplar economic model to illustrate assessments for cost-effectiveness and proposed a decision framework to inform approval and research policies for histology-independent technologies.","The objective of the developed decision framework is to help inform approval and research policies for histology-independent products by exploring the uncertainties and risks associated with different approval policies, including the role of further data collection, pricing schemes, and stratified decision-making.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a decision framework to inform approval and research policies for histology-independent technologies. This framework explores uncertainties and risks associated with different approval policies, including the role of further data collection, pricing schemes, and stratified decision-making. They also developed an exemplar economic model using a Bayesian hierarchical model (BHM) approach to assess heterogeneity in treatment effects across tumour types and to estimate pooled treatment effects, which informs whether the assumption of homogeneity is reasonable. Using the following development approach: The authors undertook a series of targeted reviews including a review of FDA and EMA documents on regulatory issues and benefit-risk approaches, an overview of key statistical literature on the design and analysis of histology-independent trials, and a systematic review of meta-analyses evaluating surrogate endpoints. They used these reviews to identify challenges and approaches to uncertainty and heterogeneity. They developed an exemplar economic model to illustrate assessments for cost-effectiveness and proposed a decision framework to inform approval and research policies for histology-independent technologies. to address the following objective: The objective of the developed decision framework is to help inform approval and research policies for histology-independent products by exploring the uncertainties and risks associated with different approval policies, including the role of further data collection, pricing schemes, and stratified decision-making.","The method is less suitable for TCIM because it depends heavily on specialised data, digital or regulatory infrastructure, or formal payment and contracting arrangements that are rarely available in traditional and integrative medicine settings.",Uncertainty & limited evidence methods,Evidence Integration & Generation,3,2,1,2,1,1.8,Moderate,0.964458594
Selecting Cost-Effectiveness Methods for Health Benefits Package Design: A Systematic Approach,"Nemzoff, C.",2025,"The authors propose applying adaptive health technology assessment (aHTA) principles to cost-effectiveness analysis (CEA) methods selection for health benefits package (HBP) design. They classify four methods used in HBPs for obtaining CEA values—expert opinion, review, model adaptation, and new model—and provide a framework that considers the trade-offs in time, data, and capacity requirements to support structured, local design of HBP assessments.","The authors applied a three-step methodology: (1) defining adaptive health technology assessment (aHTA) and its characteristics based on existing frameworks; (2) conducting a scoping review of existing cost-effectiveness assessment methods used in health benefits package (HBP) design globally, including a survey of authors to fill gaps; and (3) aligning the scoping review and survey findings to the aHTA framework to classify methods and summarize their characteristics, time, capacity, and data requirements.","The objective of the paper was to apply adaptive health technology assessment (aHTA) framing to cost-effectiveness analysis (CEA) methods selection for health benefits packages (HBPs), and to make recommendations on how countries may consider systematically making these choices going forward.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose applying adaptive health technology assessment (aHTA) principles to cost-effectiveness analysis (CEA) methods selection for health benefits package (HBP) design. They classify four methods used in HBPs for obtaining CEA values—expert opinion, review, model adaptation, and new model—and provide a framework that considers the trade-offs in time, data, and capacity requirements to support structured, local design of HBP assessments. Using the following development approach: The authors applied a three-step methodology: (1) defining adaptive health technology assessment (aHTA) and its characteristics based on existing frameworks; (2) conducting a scoping review of existing cost-effectiveness assessment methods used in health benefits package (HBP) design globally, including a survey of authors to fill gaps; and (3) aligning the scoping review and survey findings to the aHTA framework to classify methods and summarize their characteristics, time, capacity, and data requirements. to address the following objective: The objective of the paper was to apply adaptive health technology assessment (aHTA) framing to cost-effectiveness analysis (CEA) methods selection for health benefits packages (HBPs), and to make recommendations on how countries may consider systematically making these choices going forward.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Evidence gap identification,Evidence Integration & Generation,2,2,2,2,2,2,High,0.729501977
The Lean and Agile Multi-dimensional Process (LAMP) - a new framework for rapid and iterative evidence generation to support health-care technology design and development,"Ni, M.",2020,"The authors propose the Lean and Agile Multi-dimensional Process (LAMP), an early health technology assessment (HTA) framework designed for rapid and iterative evidence generation to support healthcare technology design and development. LAMP incorporates multi-dimensional evidence generation in clinical needs, human factors, health economics, and market competitiveness, structured into four phases: preparing, filtering, exploring, and evaluating. It is underpinned by lean and agile approaches to enable dynamic, iterative, and resource-efficient assessments that support commercial decision making and product design iterations.","The authors used a grounded-theory approach to develop the Lean and Agile Multi-dimensional Process (LAMP) framework, involving co-design sessions with experts from multiple disciplines and iterative refinement based on application experiences and feedback.","The objective of the Lean and Agile Multi-dimensional Process (LAMP) is to enable rapid cycles of evidence generation and staged evidence synthesis to support manufacturers in achieving incremental changes in product design, while developing robust commercialization strategies by embedding commercial decision making in structured evidence generation activities divided into phases.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the Lean and Agile Multi-dimensional Process (LAMP), an early health technology assessment (HTA) framework designed for rapid and iterative evidence generation to support healthcare technology design and development. LAMP incorporates multi-dimensional evidence generation in clinical needs, human factors, health economics, and market competitiveness, structured into four phases: preparing, filtering, exploring, and evaluating. It is underpinned by lean and agile approaches to enable dynamic, iterative, and resource-efficient assessments that support commercial decision making and product design iterations. Using the following development approach: The authors used a grounded-theory approach to develop the Lean and Agile Multi-dimensional Process (LAMP) framework, involving co-design sessions with experts from multiple disciplines and iterative refinement based on application experiences and feedback. to address the following objective: The objective of the Lean and Agile Multi-dimensional Process (LAMP) is to enable rapid cycles of evidence generation and staged evidence synthesis to support manufacturers in achieving incremental changes in product design, while developing robust commercialization strategies by embedding commercial decision making in structured evidence generation activities divided into phases.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Precision medicine / genomic frameworks,Complex & Emerging Technologies,1,1,1,0,0,0.6,Low,0.827544281
A Taxonomy for Assessing Whether HRQoL Value Sets Are Obsolete,"Norman, R.",2025,"The authors propose a taxonomy of value set obsolescence consisting of four main types: (1) misalignment with current normative HTA requirements; (2) outdated or unreliable valuation methods; (3) changes in population composition or preferences since original valuation; and (4) changes in the HRQoL instrument making the value set not an exact match. They suggest identifying the type of obsolescence and applying tailored solutions ranging from sensitivity analyses, reweighting existing data, to collecting new data for updated value sets.","The authors developed a taxonomy of value set obsolescence by identifying and categorizing factors that compromise the validity of HRQoL value sets. They explored how different types of obsolescence might be identified and suggested possible solutions for each type. The taxonomy was developed through conceptual work and discussions among experts, drawing predominantly on examples from EQ-5D value sets and involving feedback from the EuroQol group.","The objective of the taxonomy developed by the authors is to provide a tool for assessing whether health-related quality of life (HRQoL) value sets are obsolete and to suggest appropriate responses to this obsolescence, ensuring HRQoL instruments remain relevant for use in economic evaluation and healthcare decision-making.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a taxonomy of value set obsolescence consisting of four main types: (1) misalignment with current normative HTA requirements; (2) outdated or unreliable valuation methods; (3) changes in population composition or preferences since original valuation; and (4) changes in the HRQoL instrument making the value set not an exact match. They suggest identifying the type of obsolescence and applying tailored solutions ranging from sensitivity analyses, reweighting existing data, to collecting new data for updated value sets. Using the following development approach: The authors developed a taxonomy of value set obsolescence by identifying and categorizing factors that compromise the validity of HRQoL value sets. They explored how different types of obsolescence might be identified and suggested possible solutions for each type. The taxonomy was developed through conceptual work and discussions among experts, drawing predominantly on examples from EQ-5D value sets and involving feedback from the EuroQol group. to address the following objective: The objective of the taxonomy developed by the authors is to provide a tool for assessing whether health-related quality of life (HRQoL) value sets are obsolete and to suggest appropriate responses to this obsolescence, ensuring HRQoL instruments remain relevant for use in economic evaluation and healthcare decision-making.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",Patient-centered valuation,Value & Decision-Making Frameworks,1,2,3,1,3,2,High,0.570811526
Putting meat on the bone: how to fast-track innovative medicines to those who need them and generate data to justify continued use,"Ollendorf, D.",2024,"The authors propose a coordinated accelerated access (AA) system framework involving six core actions: clarifying criteria for expedited regulatory approval, enhancing coordination between key stakeholders, creating accelerated pathways in HTA and payer settings, developing joint guidance on study design and data needs, linking pricing policy to data uncertainty, and improving stakeholder understanding and support for AA drugs and processes.","The authors developed the method/framework based on discussions held at a multi-stakeholder convening in June 2023, organized by Bellberry Ltd, involving regulators, HTA bodies, payers, patient advocates, and other stakeholders. They identified six core, near-term actions to improve the current system of accelerated access, informed by the meeting's outcomes and existing literature.","The objective proposed by the authors for the accelerated access (AA) system is to promote rapid and appropriate patient access to innovative medicines, optimize patient outcomes, ensure health system sustainability, and support efficient innovation by coordinating activities across stakeholders and managing the tensions between expedited regulatory approval and the need for greater certainty of value.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a coordinated accelerated access (AA) system framework involving six core actions: clarifying criteria for expedited regulatory approval, enhancing coordination between key stakeholders, creating accelerated pathways in HTA and payer settings, developing joint guidance on study design and data needs, linking pricing policy to data uncertainty, and improving stakeholder understanding and support for AA drugs and processes. Using the following development approach: The authors developed the method/framework based on discussions held at a multi-stakeholder convening in June 2023, organized by Bellberry Ltd, involving regulators, HTA bodies, payers, patient advocates, and other stakeholders. They identified six core, near-term actions to improve the current system of accelerated access, informed by the meeting's outcomes and existing literature. to address the following objective: The objective proposed by the authors for the accelerated access (AA) system is to promote rapid and appropriate patient access to innovative medicines, optimize patient outcomes, ensure health system sustainability, and support efficient innovation by coordinating activities across stakeholders and managing the tensions between expedited regulatory approval and the need for greater certainty of value.","The method is moderately suitable for TCIM because some of its concepts and tools can be adapted to contexts with limited and heterogeneous evidence, although it still assumes data structures or decision environments that are not always present in traditional medicine.",Stakeholder collaboration frameworks,HTA Process Improvements,2,3,3,2,3,2.6,High,0.823739467
"Improving Transparency to Build Trust in Real-World Secondary Data Studies for Hypothesis Testing-Why, What, and How: Recommendations and a Road Map from the Real-World Evidence Transparency Initiative","Orsini, L. S.",2020,"The authors propose a framework centered on the registration of hypothesis-evaluating treatment effect (HETE) real-world evidence (RWE) studies using secondary data to improve transparency, trust, and replicability. This includes preregistration of study protocols and analysis plans in publicly accessible registries before study execution, documentation of any deviations with rationale, and posting of results. The framework emphasizes using existing registries (e.g., EU-PAS, ClinicalTrials.gov) initially, evaluating and adapting them for HETE RWE studies, and creating incentives for routine registration. The approach also involves defining core registration elements, balancing transparency with confidentiality, and encouraging a culture of transparency rather than enforcement.","The authors convened a joint task force and a multi-stakeholder expert meeting to explore challenges and develop recommendations for transparency in real-world evidence (RWE) studies. They reviewed existing guidelines, identified practical steps for study registration, and proposed a phased roadmap involving short-, medium-, and long-term actions to encourage routine registration of hypothesis-evaluating treatment effect (HETE) studies using secondary data. This included evaluating existing registries, defining registration requirements, piloting registration processes, and creating incentives for adoption.","The objective proposed by the authors for the method/framework developed is to promote a culture of transparency for hypothesis-evaluating treatment effect (HETE) real-world evidence (RWE) studies using secondary data, to improve study replicability, facilitate evaluation of validity, limit results-driven selection of study parameters and selective reporting, and ultimately increase confidence in the credibility of HETE RWE studies for healthcare decision-making.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a framework centered on the registration of hypothesis-evaluating treatment effect (HETE) real-world evidence (RWE) studies using secondary data to improve transparency, trust, and replicability. This includes preregistration of study protocols and analysis plans in publicly accessible registries before study execution, documentation of any deviations with rationale, and posting of results. The framework emphasizes using existing registries (e.g., EU-PAS, ClinicalTrials.gov) initially, evaluating and adapting them for HETE RWE studies, and creating incentives for routine registration. The approach also involves defining core registration elements, balancing transparency with confidentiality, and encouraging a culture of transparency rather than enforcement. Using the following development approach: The authors convened a joint task force and a multi-stakeholder expert meeting to explore challenges and develop recommendations for transparency in real-world evidence (RWE) studies. They reviewed existing guidelines, identified practical steps for study registration, and proposed a phased roadmap involving short-, medium-, and long-term actions to encourage routine registration of hypothesis-evaluating treatment effect (HETE) studies using secondary data. This included evaluating existing registries, defining registration requirements, piloting registration processes, and creating incentives for adoption. to address the following objective: The objective proposed by the authors for the method/framework developed is to promote a culture of transparency for hypothesis-evaluating treatment effect (HETE) real-world evidence (RWE) studies using secondary data, to improve study replicability, facilitate evaluation of validity, limit results-driven selection of study parameters and selective reporting, and ultimately increase confidence in the credibility of HETE RWE studies for healthcare decision-making.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",RWE integration & infrastructure,Evidence Integration & Generation,2,1,1,2,1,1.4,Moderate,0.841973119
Can Generalized Cost-Effectiveness Analysis Leverage Meaningful Use of Novel Value Elements in Pharmacoeconomics to Inform Medicare Drug Price Negotiation?,"Padula, W. V.",2024,"The authors propose the use of Generalized Cost-Effectiveness Analysis (GCEA) as a method/framework to incorporate novel value elements into pharmacoeconomics and health technology assessment, addressing limitations of conventional cost-effectiveness analysis (CEA) such as the use of QALYs and assumptions of disease severity independence and static pricing.",The authors conducted a critical review of the evidence for expanding conventional cost-effectiveness analysis (CEA) methods to a more generalized approach called generalized cost-effectiveness analysis (GCEA). They reviewed existing methods and measures that incorporate novel value elements into CEA and discussed how these could be applied to inform Medicare drug price negotiation.,"The objective of the generalized cost-effectiveness analysis (GCEA) method/framework is to incorporate novel value elements into cost-effectiveness analysis to better capture the true societal value of health technologies, overcome limitations of conventional CEA such as assumptions of disease severity independence and static pricing, and provide a more equitable and comprehensive basis for health technology assessment and Medicare drug price negotiation.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose the use of Generalized Cost-Effectiveness Analysis (GCEA) as a method/framework to incorporate novel value elements into pharmacoeconomics and health technology assessment, addressing limitations of conventional cost-effectiveness analysis (CEA) such as the use of QALYs and assumptions of disease severity independence and static pricing. Using the following development approach: The authors conducted a critical review of the evidence for expanding conventional cost-effectiveness analysis (CEA) methods to a more generalized approach called generalized cost-effectiveness analysis (GCEA). They reviewed existing methods and measures that incorporate novel value elements into CEA and discussed how these could be applied to inform Medicare drug price negotiation. to address the following objective: The objective of the generalized cost-effectiveness analysis (GCEA) method/framework is to incorporate novel value elements into cost-effectiveness analysis to better capture the true societal value of health technologies, overcome limitations of conventional CEA such as assumptions of disease severity independence and static pricing, and provide a more equitable and comprehensive basis for health technology assessment and Medicare drug price negotiation.","The method is less suitable for TCIM because it depends heavily on specialised data, digital or regulatory infrastructure, or formal payment and contracting arrangements that are rarely available in traditional and integrative medicine settings.",Pricing frameworks / opportunity cost,"Policy, Coverage & Reimbursement",0,0,0,0,0,0,Not applicable,0.445043862
The strategic relevance of manufacturing technology: An overall quality concept to promote innovation preventing drug shortage,"Panzitta, M.",2017,"The authors propose a risk assessment framework for evaluating drug shortage risk related to manufacturing complexity, based on measurable variables grouped into three main areas: Capacity, Sustainability, and Technics. They provide a risk ranking and filtering table adapted from ICH Q9 principles to quantify shortage risk, considering factors such as manufacturing site redundancy, resupply time, stockpile, selling price, turnover, formulation complexity, and manufacturing process complexity. This technical assessment is intended to be used proactively during Health Technology Assessment (HTA) to evaluate shortage risk and support decision-making on price and reimbursement to reward quality and prevent shortages.","The authors developed the method/framework by synthesizing existing guidelines and concepts such as ICH Q8-Q12, GMP regulations, and quality risk management principles, integrating technical manufacturing complexity, supply chain factors, and economic considerations into a risk ranking and filtering table for shortage risk assessment. They proposed a simple risk assessment exercise based on ICH Q9 principles, identifying key risk areas (Capacity, Sustainability, Technics) and measurable variables to quantify shortage risk, aiming to provide a practical tool for manufacturers and regulatory authorities. The approach is conceptual and reflective, aiming to stimulate scientific discussion rather than empirical validation.","The authors propose a method/framework to assess and manage the shortage risk related to manufacturing complexity by evaluating capacity, sustainability, and technical factors. The objective is to provide a simple risk assessment tool to help Marketing Authorization Holders (MAH) and Regulatory Authorities quickly assess shortage risk, address resources towards higher risk situations, and integrate manufacturing technology assessment into the Health Technology Assessment (HTA) process to reward quality and prevent drug shortages.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a risk assessment framework for evaluating drug shortage risk related to manufacturing complexity, based on measurable variables grouped into three main areas: Capacity, Sustainability, and Technics. They provide a risk ranking and filtering table adapted from ICH Q9 principles to quantify shortage risk, considering factors such as manufacturing site redundancy, resupply time, stockpile, selling price, turnover, formulation complexity, and manufacturing process complexity. This technical assessment is intended to be used proactively during Health Technology Assessment (HTA) to evaluate shortage risk and support decision-making on price and reimbursement to reward quality and prevent shortages. Using the following development approach: The authors developed the method/framework by synthesizing existing guidelines and concepts such as ICH Q8-Q12, GMP regulations, and quality risk management principles, integrating technical manufacturing complexity, supply chain factors, and economic considerations into a risk ranking and filtering table for shortage risk assessment. They proposed a simple risk assessment exercise based on ICH Q9 principles, identifying key risk areas (Capacity, Sustainability, Technics) and measurable variables to quantify shortage risk, aiming to provide a practical tool for manufacturers and regulatory authorities. The approach is conceptual and reflective, aiming to stimulate scientific discussion rather than empirical validation. to address the following objective: The authors propose a method/framework to assess and manage the shortage risk related to manufacturing complexity by evaluating capacity, sustainability, and technical factors. The objective is to provide a simple risk assessment tool to help Marketing Authorization Holders (MAH) and Regulatory Authorities quickly assess shortage risk, address resources towards higher risk situations, and integrate manufacturing technology assessment into the Health Technology Assessment (HTA) process to reward quality and prevent drug shortages.","The method is less suitable for TCIM because it depends heavily on specialised data, digital or regulatory infrastructure, or formal payment and contracting arrangements that are rarely available in traditional and integrative medicine settings.",National HTA guideline frameworks,HTA Process Improvements,1,1,1,1,1,1,Moderate,0.439576394
Development of a Multi-Criteria Decision Analysis Rating Tool to Prioritize Real-World Evidence Questions for the Canadian Real-World Evidence for Value of Cancer Drugs (CanREValue) Collaboration,"Parmar, A.",2023,"The authors propose a Multi-Criteria Decision Analysis (MCDA) rating tool to assess and prioritize potential post-market real-world evidence (RWE) questions/uncertainties emerging from public drug funding decisions in Canada. The tool includes criteria assessing both the importance and feasibility of RWE questions, with weighted scoring to guide prioritization.","The authors developed the MCDA rating tool through a stepwise, iterative process involving: (1) selection of criteria to assess the importance and feasibility of an RWE question; (2) development of rating scales, application of weights to each criterion, and calculation of aggregate scores; and (3) validation testing of the tool with multidisciplinary stakeholders. The process included expert consultation, stakeholder feedback to refine criteria, development of performance measures, weighting based on stakeholder surveys, and pilot testing with mock RWE proposals to assess usability and applicability.","The objective of the MCDA rating tool is to assess and prioritize potential post-market real-world evidence (RWE) questions/uncertainties emerging from public drug funding decisions in Canada, supporting the identification of the most pertinent and relevant post-market RWE studies to reduce uncertainties in cancer drug funding recommendations.","This study developed a method or framework for health technology assessment, described by the authors as follows: The authors propose a Multi-Criteria Decision Analysis (MCDA) rating tool to assess and prioritize potential post-market real-world evidence (RWE) questions/uncertainties emerging from public drug funding decisions in Canada. The tool includes criteria assessing both the importance and feasibility of RWE questions, with weighted scoring to guide prioritization. Using the following development approach: The authors developed the MCDA rating tool through a stepwise, iterative process involving: (1) selection of criteria to assess the importance and feasibility of an RWE question; (2) development of rating scales, application of weights to each criterion, and calculation of aggregate scores; and (3) validation testing of the tool with multidisciplinary stakeholders. The process included expert consultation, stakeholder feedback to refine criteria, development of performance measures, weighting based on stakeholder surveys, and pilot testing with mock RWE proposals to assess usability and applicability. to address the following objective: The objective of the MCDA rating tool is to assess and prioritize potential post-market real-world evidence (RWE) questions/uncertainties emerging from public drug funding decisions in Canada, supporting the identification of the most pertinent and relevant post-market RWE studies to reduce uncertainties in cancer drug funding recommendations.","The method is highly suitable for TCIM because it can accommodate mixed and imperfect evidence, supports contextualised and patient- or community-informed decision-making, and does not rely solely on large, standardised clinical datasets.",RWE integration & infrastructure,Evidence Integration & Generation,2,1,1,2,1,1.4,Moderate,0.792472419
